time,region,pre,tmx
1902-10-16,Bari,18.074999,32.25
1902-10-16,Bay,94.221436,32.12143
1902-10-16,Galgaduud,55.423534,33.0
1902-10-16,Gedo,65.23571,33.385715
1902-10-16,Hiraan,77.91818,32.79091
1902-10-16,Lower Juba,39.094124,32.52941
1902-10-16,Lower Shabelle,62.659996,31.820002
1902-10-16,Middle Juba,56.820007,32.6
1902-10-16,Middle Shabelle,76.259995,31.880001
1902-10-16,Mudug,40.311764,33.011765
1902-10-16,Nugaal,34.030003,32.5
1902-10-16,Sanaag,21.38889,30.238888
1902-10-16,Sool,31.983335,31.400002
1902-10-16,Togdheer,34.12,30.25
1902-10-16,Woqooyi Galbeed,10.92,31.210001
1902-11-16,Awdal,39.025,30.825
1902-11-16,Bakool,64.387505,32.324997
1902-11-16,Bari,8.141666,30.295837
1902-11-16,Bay,154.45714,32.24286
1902-11-16,Galgaduud,33.105885,32.81765
1902-11-16,Gedo,118.17857,33.15
1902-11-16,Hiraan,55.02728,32.81818
1902-11-16,Lower Juba,187.79411,32.95294
1902-11-16,Lower Shabelle,151.21,32.11
1902-11-16,Middle Juba,247.38,32.840004
1902-11-16,Middle Shabelle,69.600006,32.06
1902-11-16,Mudug,26.670588,32.452946
1902-11-16,Nugaal,14.610001,31.16
1902-11-16,Sanaag,6.177778,28.155556
1902-11-16,Sool,7.816667,29.741667
1902-11-16,Togdheer,15.12,28.77
1902-11-16,Woqooyi Galbeed,22.7,29.5
1902-12-16,Awdal,0.075,29.199999
1902-12-16,Bakool,11.4875,32.8375
1902-12-16,Bari,3.7791665,28.391668
1902-12-16,Bay,12.071428,32.814285
1902-12-16,Galgaduud,10.841178,32.429413
1902-12-16,Gedo,14.042857,33.928574
1902-12-16,Hiraan,12.654547,32.918182
1902-12-16,Lower Juba,1.6529413,33.17059
1902-12-16,Lower Shabelle,14.26,32.45
1902-12-16,Middle Juba,3.0400002,33.32
1902-12-16,Middle Shabelle,21.539999,32.06
1902-12-16,Mudug,10.152942,31.482353
1902-12-16,Nugaal,3.78,29.62
1902-12-16,Sanaag,1.2444444,26.483334
1902-12-16,Sool,0.4416667,28.250002
1902-12-16,Togdheer,0.7,27.679998
1902-12-16,Woqooyi Galbeed,0.45,28.140003
1903-01-16,Awdal,16.1,30.6
1903-01-16,Bakool,1.6125001,34.0875
1903-01-16,Bari,4.045833,28.533335
1903-01-16,Bay,2.664286,33.871426
1903-01-16,Galgaduud,4.352941,32.764706
1903-01-16,Gedo,3.5785716,35.685715
1903-01-16,Hiraan,2.8090909,33.563637
1903-01-16,Lower Juba,2.6764705,34.123528
1903-01-16,Lower Shabelle,2.48,33.02
1903-01-16,Middle Juba,2.44,34.34
1903-01-16,Middle Shabelle,9.780001,32.36
1903-01-16,Mudug,3.4117649,31.67647
1903-01-16,Nugaal,2.3600001,30.0
1903-01-16,Sanaag,1.4611111,26.994444
1903-01-16,Sool,0.52500004,28.858332
1903-01-16,Togdheer,2.01,28.63
1903-01-16,Woqooyi Galbeed,5.3700004,29.320002
1903-02-15,Awdal,4.175,31.2
1903-02-15,Bakool,3.8125,34.7625
1903-02-15,Bari,3.5125,29.637503
1903-02-15,Bay,2.1714284,34.45
1903-02-15,Galgaduud,1.4352942,33.56471
1903-02-15,Gedo,4.2642856,36.300003
1903-02-15,Hiraan,1.2090908,34.281822
1903-02-15,Lower Juba,0.2647059,34.447056
1903-02-15,Lower Shabelle,0.71,33.47
1903-02-15,Middle Juba,0.6,34.78
1903-02-15,Middle Shabelle,3.4800003,33.0
1903-02-15,Mudug,0.9117647,32.600002
1903-02-15,Nugaal,1.4300001,31.0
1903-02-15,Sanaag,3.5166664,27.983334
1903-02-15,Sool,1.6166667,29.808332
1903-02-15,Togdheer,3.7899997,29.289999
1903-02-15,Woqooyi Galbeed,3.85,29.940002
1903-03-16,Awdal,6.2250004,31.850002
1903-03-16,Bakool,23.7,35.425003
1903-03-16,Bari,6.991667,31.395834
1903-03-16,Bay,16.935713,35.157143
1903-03-16,Galgaduud,9.570589,34.658825
1903-03-16,Gedo,21.2,36.757145
1903-03-16,Hiraan,16.40909,35.18182
1903-03-16,Lower Juba,1.7235293,35.082355
1903-03-16,Lower Shabelle,10.08,34.29
1903-03-16,Middle Juba,3.7400002,35.46
1903-03-16,Middle Shabelle,20.8,33.98
1903-03-16,Mudug,6.694118,33.84706
1903-03-16,Nugaal,5.85,32.440002
1903-03-16,Sanaag,8.538889,29.372223
1903-03-16,Sool,4.608333,31.050001
1903-03-16,Togdheer,6.4800005,30.309998
1903-03-16,Woqooyi Galbeed,7.78,30.8
1903-04-16,Awdal,5.575,32.500004
1903-04-16,Bakool,117.625,34.375
1903-04-16,Bari,19.920834,32.9375
1903-04-16,Bay,117.17143,34.107143
1903-04-16,Galgaduud,49.376472,34.95294
1903-04-16,Gedo,105.84286,34.935715
1903-04-16,Hiraan,78.79092,34.918186
1903-04-16,Lower Juba,57.923527,33.85882
1903-04-16,Lower Shabelle,89.55,33.910004
1903-04-16,Middle Juba,75.02,34.3
1903-04-16,Middle Shabelle,70.7,34.120003
1903-04-16,Mudug,26.905882,34.67059
1903-04-16,Nugaal,25.2,33.54
1903-04-16,Sanaag,31.266666,30.566668
1903-04-16,Sool,33.975002,32.008335
1903-04-16,Togdheer,46.890003,30.719997
1903-04-16,Woqooyi Galbeed,18.890001,31.25
1903-05-16,Awdal,12.0,34.575
1903-05-16,Bakool,85.450005,32.537502
1903-05-16,Bari,21.470835,34.195835
1903-05-16,Bay,77.26429,32.335716
1903-05-16,Galgaduud,60.217648,33.747063
1903-05-16,Gedo,52.585712,33.32857
1903-05-16,Hiraan,79.48182,33.227276
1903-05-16,Lower Juba,38.505886,32.34118
1903-05-16,Lower Shabelle,73.8,32.28
1903-05-16,Middle Juba,34.079998,32.74
1903-05-16,Middle Shabelle,83.740005,32.579998
1903-05-16,Mudug,49.735294,34.11765
1903-05-16,Nugaal,39.510002,33.79
1903-05-16,Sanaag,35.38889,31.866665
1903-05-16,Sool,43.041668,32.61667
1903-05-16,Togdheer,54.1,31.25
1903-05-16,Woqooyi Galbeed,28.51,32.480003
