time,admin1,tmx,pre
1902-09,Galgaduud,33.223534,6.347059
1902-09,Gedo,33.971428,4.65
1902-09,Hiraan,33.0,8.845455
1902-09,Lower Juba,31.870588,14.982353
1902-09,Lower Shabelle,31.429998,9.960001
1902-09,Middle Juba,32.22,9.66
1902-09,Middle Shabelle,31.6,9.74
1902-09,Mudug,33.41765,3.3764706
1902-09,Nugaal,33.46,5.7300005
1902-09,Sanaag,32.58889,16.744444
1902-09,Sool,33.158337,11.183333
1902-09,Togdheer,32.25,20.36
1902-09,Woqooyi Galbeed,33.780003,10.460001
1902-10,Awdal,32.825,4.45
1902-10,Bakool,32.4,89.3
1902-10,Banadir,31.850001499999998,69.4599955
1902-10,Bari,32.25,18.074999
1902-10,Bay,32.12143,94.221436
1902-10,Galgaduud,33.0,55.423534
1902-10,Gedo,33.385715,65.23571
1902-10,Hiraan,32.79091,77.91818
1902-10,Lower Juba,32.52941,39.094124
1902-10,Lower Shabelle,31.820002,62.659996
1902-10,Middle Juba,32.6,56.820007
1902-10,Middle Shabelle,31.880001,76.259995
1902-10,Mudug,33.011765,40.311764
1902-10,Nugaal,32.5,34.030003
1902-10,Sanaag,30.238888,21.38889
1902-10,Sool,31.400002,31.983335
1902-10,Togdheer,30.25,34.12
1902-10,Woqooyi Galbeed,31.210001,10.92
1902-11,Awdal,30.825,39.025
1902-11,Bakool,32.324997,64.387505
1902-11,Banadir,32.085,110.405003
1902-11,Bari,30.295837,8.141666
1902-11,Bay,32.24286,154.45714
1902-11,Galgaduud,32.81765,33.105885
1902-11,Gedo,33.15,118.17857
1902-11,Hiraan,32.81818,55.02728
1902-11,Lower Juba,32.95294,187.79411
1902-11,Lower Shabelle,32.11,151.21
1902-11,Middle Juba,32.840004,247.38
1902-11,Middle Shabelle,32.06,69.600006
1902-11,Mudug,32.452946,26.670588
1902-11,Nugaal,31.16,14.610001
1902-11,Sanaag,28.155556,6.177778
1902-11,Sool,29.741667,7.816667
1902-11,Togdheer,28.77,15.12
1902-11,Woqooyi Galbeed,29.5,22.7
1902-12,Awdal,29.199999,0.075
1902-12,Bakool,32.8375,11.4875
1902-12,Banadir,32.255,17.8999995
1902-12,Bari,28.391668,3.7791665
1902-12,Bay,32.814285,12.071428
1902-12,Galgaduud,32.429413,10.841178
1902-12,Gedo,33.928574,14.042857
1902-12,Hiraan,32.918182,12.654547
1902-12,Lower Juba,33.17059,1.6529413
1902-12,Lower Shabelle,32.45,14.26
1902-12,Middle Juba,33.32,3.0400002
1902-12,Middle Shabelle,32.06,21.539999
1902-12,Mudug,31.482353,10.152942
1902-12,Nugaal,29.62,3.78
1902-12,Sanaag,26.483334,1.2444444
1902-12,Sool,28.250002,0.4416667
1902-12,Togdheer,27.679998,0.7
1902-12,Woqooyi Galbeed,28.140003,0.45
1903-01,Awdal,30.6,16.1
1903-01,Bakool,34.0875,1.6125001
1903-01,Banadir,32.69,6.1300005
1903-01,Bari,28.533335,4.045833
1903-01,Bay,33.871426,2.664286
1903-01,Galgaduud,32.764706,4.352941
1903-01,Gedo,35.685715,3.5785716
1903-01,Hiraan,33.563637,2.8090909
1903-01,Lower Juba,34.123528,2.6764705
1903-01,Lower Shabelle,33.02,2.48
1903-01,Middle Juba,34.34,2.44
1903-01,Middle Shabelle,32.36,9.780001
1903-01,Mudug,31.67647,3.4117649
1903-01,Nugaal,30.0,2.3600001
1903-01,Sanaag,26.994444,1.4611111
1903-01,Sool,28.858332,0.52500004
1903-01,Togdheer,28.63,2.01
1903-01,Woqooyi Galbeed,29.320002,5.3700004
1903-02,Awdal,31.2,4.175
1903-02,Bakool,34.7625,3.8125
1903-02,Banadir,33.235,2.0950001499999997
1903-02,Bari,29.637503,3.5125
1903-02,Bay,34.45,2.1714284
