admin1,year,population_density
Woqooyi_Galbeed,2018,105.23675541548128
Awdal,2019,154.1756686533601
Bakool,2019,112.6713701391554
Banadir,2019,6843.7430066972
Bari,2019,67.84166716136171
Bay,2019,107.88522432562098
Galgaduud,2019,54.29891176244854
Gedo,2019,84.3047167286364
Hiraan,2019,52.53993285139629
Middle_Juba,2019,66.204841929769
Lower_Juba,2019,141.14304693377687
Mudug,2019,80.46016865034959
Nugaal,2019,22.096868444829155
Sanaag,2019,25.236297266897314
Middle_Shabelle,2019,183.51872775806697
Lower_Shabelle,2019,603.0309638530746
Sool,2019,24.211451064636524
Togdheer,2019,64.02469736530514
Woqooyi_Galbeed,2019,108.16199871607523
Awdal,2020,158.34538138800218
Bakool,2020,115.71857828922815
Banadir,2020,7028.832067289627
Bari,2020,69.67642668811342
Bay,2020,110.80301017507486
Galgaduud,2020,55.767408407584014
Gedo,2020,86.58471874504428
Hiraan,2020,53.960928290545255
Middle_Juba,2020,67.99535156798989
Lower_Juba,2020,144.9602216382832
Mudug,2020,82.63624892085382
Nugaal,2020,22.694458101269056
Sanaag,2020,25.918810157220317
Middle_Shabelle,2020,188.4820463048475
Lower_Shabelle,2020,619.3400355512963
Sool,2020,24.866264979446758
Togdheer,2020,65.75625840431938
Woqooyi_Galbeed,2020,111.08724201666917
Awdal,2021,162.51509412264423
Bakool,2021,118.76578643930091
Banadir,2021,7213.921127882056
Bari,2021,71.51118621486512
Bay,2021,113.72079602452875
Galgaduud,2021,57.23590505271949
Gedo,2021,88.86472076145216
Hiraan,2021,55.38192372969422
Middle_Juba,2021,69.78586120621077
Lower_Juba,2021,148.77739634278947
Mudug,2021,84.81232919135802
Nugaal,2021,23.29204775770896
Sanaag,2021,26.60132304754332
Middle_Shabelle,2021,193.44536485162806
Lower_Shabelle,2021,635.649107249518
Sool,2021,25.521078894256984
Togdheer,2021,67.48781944333362
Woqooyi_Galbeed,2021,114.01248531726311
Awdal,2022,166.68480685728628
Bakool,2022,121.81299458937367
Banadir,2022,7399.0101884744845
Bari,2022,73.34594574161682
Bay,2022,116.63858187398264
Galgaduud,2022,58.70440169785496
Gedo,2022,91.14472277786004
Hiraan,2022,56.80291916884319
Middle_Juba,2022,71.57637084443164
Lower_Juba,2022,152.59457104729574
Mudug,2022,86.98840946186222
Nugaal,2022,23.889637414148865
Sanaag,2022,27.283835937866325
Middle_Shabelle,2022,198.4086833984086
Lower_Shabelle,2022,651.9581789477397
Sool,2022,26.17589280906721
Togdheer,2022,69.21938048234784
Woqooyi_Galbeed,2022,116.93772861785706
