,time,Previous (Departure) Region,Banadir,level_0,index,admin1,year,month,TA,PA,DL,TA_lag1,TA_lag2,TA_lag3,TA_lag4,TA_lag5,TA_lag6,PA_lag1,PA_lag2,PA_lag3,PA_lag4,PA_lag5,PA_lag6,DL_lag1,DL_lag2,DL_lag3,DL_lag4,DL_lag5,DL_lag6,conflicts,inv_distance,log_disp,x
105,2020-06,Sool,0,969,1433,Sool,2020,6,-0.1549930208638497,0.0684393251058053,0,-0.1496864301456291,-0.2067231564544865,0.3412358316841812,0.4621082058196579,0.4822723169842762,0.5957839931933231,0.1334049522420888,0.1800478135959616,0.1441526834600773,0.1348152190404009,0.0800894666180937,0.0468585684891949,0.0,0.0,13.0,12.0,11.0,10.0,2,0.0017204192404835263,-inf,-6.118679558924229e-07
106,2020-06,Togdheer,0,970,1433,Togdheer,2020,6,-0.1459549086313918,0.0776509302172752,0,-0.1196457675515779,-0.167800011941951,0.3032589006851793,0.3037179643856543,0.3503132316488053,0.458652947231622,0.1212226977615345,0.121328057914301,0.0420313633796548,0.0940161056177091,0.0910377095089832,0.1446700153390121,0.0,0.0,13.0,12.0,11.0,10.0,5,0.001820272428158295,-inf,-5.559871689616524e-07
107,2020-06,Woqooyi Galbeed,0,971,1433,Woqooyi Galbeed,2020,6,-0.0687295280624817,0.0982129781978632,0,-0.025386681399515,-0.0972473313249439,0.3108062933598112,0.2507172855171168,0.3388812050525032,0.4855836430569744,0.1087276181821395,0.1216976834051273,0.0477819289862703,0.2895833306962175,0.2583844335040678,0.3743042049984927,0.0,0.0,14.0,13.0,12.0,11.0,1,0.0016107324240856426,-inf,-2.523042083417162e-07
108,2020-07,Awdal,0,972,1434,Awdal,2020,7,0.0836951856326598,0.1654787686642726,1,-0.0129390731878908,0.0430864595556675,-0.0863536749474969,0.2590472979803884,0.1575753042259539,0.1928211683185939,0.101181478175869,0.1066061413139926,0.1404414978040904,0.0699160744011088,0.4089263166442337,0.3657618513898316,0.0,1.0,0.0,141.0,140.0,139.0,0,0.0014060378073769858,-inf,8.517944513246176e-08
109,2020-07,Bakool,0,973,1434,Bakool,2020,7,0.4130775416042618,-0.2535682775558872,23,0.4266000495719045,0.1256166972187069,0.4637230483444926,0.7823108373308625,0.5981257390747327,0.6476107394407322,-0.0775129627507978,0.1080299201003034,-0.0818907454994354,0.2598255308795166,0.5849067547677866,1.146358566701533,22.0,21.0,20.0,19.0,18.0,17.0,3,0.004339161252142711,-inf,2.3651514193184817e-06
111,2020-07,Bari,0,975,1434,Bari,2020,7,0.9467656051874396,0.0505982620253739,22,0.8542227210102765,0.6862955027206096,0.8083641021758188,1.1769781747356896,1.3720421225590158,1.8940601460743705,0.0706698813813843,0.1496659710589757,0.2286141569994982,0.2093499347707191,0.19931836669239,0.1059776927120519,21.0,20.0,19.0,18.0,17.0,16.0,8,0.00124865886735538,-inf,1.0700369241408927e-06
112,2020-07,Bay,0,976,1434,Bay,2020,7,0.7747084080801139,-0.3851240948472638,25,0.84795389598592,0.4217591011832453,0.8382062684048343,1.2069646366504392,0.9914644808183518,1.0957516522394135,-0.1392594483231461,0.1705976075176359,-0.0152281922431872,0.4093012652213402,0.7547038262947035,1.2227129810919295,24.0,23.0,22.0,21.0,20.0,19.0,20,0.0048678032659052834,-inf,9.99379642421283e-06
113,2020-07,Galgaduud,9,977,1434,Galgaduud,2020,7,-0.0047099152551533,0.1600157980422307,0,-0.0925600925200876,-0.1439684303556203,-0.0267370938406489,0.3008867291198523,0.2431583536550208,0.2069027494377533,0.1307951821822435,0.1161804650243324,0.2305549447788159,0.1787644719596218,0.2076155167797595,0.2345477880042063,0.0,0.0,0.0,4.0,3.0,2.0,3,0.003565472503646411,2.197224577336219,-1.8302122290160145e-06
114,2020-07,Gedo,0,978,1434,Gedo,2020,7,0.8616075801475842,-0.5672587837387837,25,0.8877314286444682,0.4424544657545545,0.7874769702034209,1.1248477526573024,0.9855295666796748,1.1191833120691883,-0.2360989972817439,0.1538960301198602,-0.0114068804753864,0.5036166029485334,0.915188224117944,1.627922130450815,24.0,23.0,22.0,21.0,20.0,19.0,1,0.002616749249414958,-inf,3.029652370555508e-06
115,2020-07,Hiraan,0,979,1434,Hiraan,2020,7,0.1798806701752044,0.1065265534663989,18,0.2120930698233256,0.0208817452593342,0.298554074568608,0.6028805149717118,0.4064624184293792,0.3867097017618971,0.1105416602303258,0.1089296306275935,0.1616541420962532,0.1665632380660331,0.2580985978051617,0.3685799608196031,17.0,16.0,15.0,14.0,13.0,12.0,20,0.006016509264782172,-inf,7.55885427916512e-07
116,2020-07,Lower Juba,0,980,1434,Lower Juba,2020,7,1.155604990501959,-0.3716630439456983,145,1.109739842462576,0.6311091519516575,0.8700896444265447,1.2151586751301338,1.1036526085932117,1.2753155107461849,-0.3583067734010375,0.0108171083730369,0.8567822486093688,0.9394422557821864,1.1133270426940525,1.326709231889707,144.0,143.0,142.0,141.0,140.0,139.0,28,0.0023353638652866275,-inf,3.442021592344408e-06
