admin1,Awdal,Bakool,Banadir,Bari,Bay,Galgaduud,Gedo,Hiraan,Lower_Juba,Lower_Shabelle,Middle_Juba,Middle_Shabelle,Mudug,Nugaal,Sanaag,Sool,Togdheer,Woqooyi_Galbeed,yr_mth
Banadir,0.0,0.0,0.03330161750713606,0.0,0.07564224548049477,0.0,0.0,0.005233111322549952,0.0,0.5,0.0,0.12464319695528069,0.0,0.0,0.0,0.0,0.0,0.0,2016-06
Bari,0.0,0.0,0.018553758325404377,0.058991436726926735,0.003805899143672693,0.0,0.0,0.015223596574690771,0.0,0.0019029495718363464,0.0,0.009039010466222646,0.004757373929590866,0.005233111322549952,0.0,0.004757373929590866,0.0,0.0,2016-06
Bay,0.0,0.003330161750713606,0.02664129400570885,0.0,0.12226450999048526,0.0,0.0,0.005708848715509039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-06
Galgaduud,0.0,0.0,0.0,0.0,0.0,0.02664129400570885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-06
Gedo,0.0,0.0,0.0,0.0,0.021408182683158895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-06
Hiraan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-06
Lower_Juba,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0356803044719315,0.0,0.05090390104662226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-06
Lower_Shabelle,0.0,0.0,0.0028544243577545195,0.0,0.0,0.0,0.0,0.0,0.0,0.4148430066603235,0.0,0.017126546146527116,0.0,0.0,0.0,0.0,0.0,0.0,2016-06
Middle_Juba,0.0,0.0,0.0,0.0,0.10466222645099905,0.0,0.029971455756422453,0.0,0.02759276879162702,0.0,0.010941960038058992,0.05708848715509039,0.0,0.0,0.0,0.0,0.0,0.0,2016-06
Middle_Shabelle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006660323501427212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-06
Mudug,0.0,0.0,0.002378686964795433,0.002378686964795433,0.0,0.012369172216936251,0.0,0.010466222645099905,0.0,0.0,0.0,0.0028544243577545195,0.003805899143672693,0.05851569933396765,0.0,0.0,0.0,0.0,2016-06
Nugaal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-06
Sanaag,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-06
Sool,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5551855375832541,1.0,0.0,2016-06
Togdheer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009039010466222646,0.6446241674595623,0.0,2016-06
Woqooyi_Galbeed,0.0,0.0,0.07278782112274025,0.011893434823977164,0.0,0.015223596574690771,0.0,0.009990485252140819,0.002378686964795433,0.005708848715509039,0.0,0.0028544243577545195,0.012369172216936251,0.008087535680304472,0.008563273073263558,0.0019029495718363464,0.002378686964795433,0.003805899143672693,2016-06
Awdal,0.0,0.0,0.007222676478604524,0.0,0.0,0.002725538293813028,0.0,0.004769692014172799,0.0,0.0014990460615971655,0.0,0.0008176614881439084,0.0025892613791223765,0.0025892613791223765,0.0,0.0,0.0,0.0,2016-07
Bakool,0.0,0.12905423821204687,0.0,0.0,0.0,0.0,0.0,0.003679476696647588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-07
Banadir,0.0,0.0,0.011856091578086671,0.0,0.04510765876260561,0.0,0.010357045516489506,0.0,0.0,0.13614063777596075,0.0,0.0342055055873535,0.0,0.0,0.0,0.0,0.0,0.0,2016-07
Bari,0.0,0.0,0.006541291905151268,0.007358953393295176,0.0008176614881439084,0.0,0.0,0.0014990460615971655,0.0,0.000681384573453257,0.0,0.000681384573453257,0.0010902153175252113,0.0,0.0,0.0,0.0,0.0,2016-07
Bay,0.0,0.0028618152085036794,0.0,0.0,0.008176614881439084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019078768056691197,0.0,0.0,0.0,0.0,2016-07
Galgaduud,0.0,0.0,0.0,0.0,0.0,0.12264922322158626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-07
Gedo,0.0,0.004497138184791497,0.0,0.0,0.04905968928863451,0.0,0.004088307440719542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-07
Hiraan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-07
Lower_Juba,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01171981466339602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-07
Lower_Shabelle,0.0,0.0,0.000681384573453257,0.0,0.0,0.0,0.0,0.0,0.0,0.14513491414554375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-07
Middle_Juba,0.0,0.0,0.0,0.0,0.054647042790951214,0.0,0.031207413464159173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-07
Middle_Shabelle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-07
Mudug,0.0,0.0,0.0002725538293813028,0.0017715998909784683,0.0028618152085036794,0.0019078768056691197,0.0,0.006132461161079314,0.0,0.0005451076587626056,0.0,0.003270645952575634,0.004905968928863451,0.000681384573453257,0.0,0.0,0.0,0.0,2016-07
Nugaal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-07
Sanaag,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-07
Sool,0.0,0.0,0.0,0.002998092123194331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012264922322158627,0.011856091578086671,0.0,0.0,2016-07
Togdheer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005451076587626056,0.0,2016-07
Woqooyi_Galbeed,0.0,0.0005451076587626056,0.006541291905151268,0.005996184246388662,0.0014990460615971655,0.0035431997819569366,0.0,0.004905968928863451,0.0,0.0008176614881439084,0.0010902153175252113,0.001362769146906514,0.0010902153175252113,0.0023167075497410737,0.0028618152085036794,0.000681384573453257,0.003952030526028891,0.0,2016-07
Awdal,0.0,0.009985734664764621,0.04136947218259629,0.0,0.0,0.005706134094151213,0.0,0.009985734664764621,0.0,0.0,0.0,0.0,0.009985734664764621,0.019971469329529243,0.0,0.0,0.0,0.0,2016-08
Bakool,0.0,0.5092724679029957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-08
Banadir,0.0,0.02710413694721826,0.034236804564907276,0.0,0.0,0.07988587731811697,0.0,0.12125534950071326,0.0,1.0,0.0,0.0,0.029957203994293864,0.0,0.0,0.0,0.0,0.0,2016-08
Bari,0.0,0.012838801711840228,0.06990014265335236,0.06419400855920114,0.0,0.0,0.011412268188302425,0.025677603423680456,0.0,0.012838801711840228,0.0,0.0,0.0,0.02282453637660485,0.0,0.019971469329529243,0.0,0.0,2016-08
Bay,0.0,0.017118402282453638,0.0,0.0,0.34522111269614836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-08
Galgaduud,0.0,0.0,0.0,0.0,0.0,0.47075606276747506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-08
