time,admin1,spei
1903-06-16,Middle Shabelle,0.49423298
1903-06-16,Mudug,0.4451048
1903-06-16,Nugaal,0.51325434
1903-06-16,Sanaag,0.11824731
1903-06-16,Sool,0.3743495
1903-06-16,Togdheer,-0.24842875
1903-06-16,Woqooyi Galbeed,-1.0453552
1903-07-16,Awdal,-2.1556234
1903-07-16,Bakool,-0.6633129
1903-07-16,Bari,-0.08979028
1903-07-16,Bay,-0.11232435
1903-07-16,Galgaduud,-0.3731176
1903-07-16,Gedo,-0.7944251
1903-07-16,Hiraan,-0.3296875
1903-07-16,Lower Juba,-0.20948489
1903-07-16,Lower Shabelle,0.029647212
1903-07-16,Middle Juba,-0.30111808
1903-07-16,Middle Shabelle,0.3649277
1903-07-16,Mudug,-0.085491695
1903-07-16,Nugaal,-0.19684963
1903-07-16,Sanaag,-0.51175165
1903-07-16,Sool,-0.5260058
1903-07-16,Togdheer,-1.004787
1903-07-16,Woqooyi Galbeed,-1.7998359
1903-08-16,Awdal,-1.8162663
1903-08-16,Bakool,-0.4151212
1903-08-16,Bari,0.05661899
1903-08-16,Bay,0.12959142
1903-08-16,Galgaduud,-0.20121685
1903-08-16,Gedo,-0.3992786
1903-08-16,Hiraan,-0.021406217
1903-08-16,Lower Juba,0.45426786
1903-08-16,Lower Shabelle,0.288925
1903-08-16,Middle Juba,0.21901341
1903-08-16,Middle Shabelle,0.27986115
1903-08-16,Mudug,-0.08731024
1903-08-16,Nugaal,0.27498278
1903-08-16,Sanaag,-0.040597975
1903-08-16,Sool,0.19478446
1903-08-16,Togdheer,-0.46122232
1903-08-16,Woqooyi Galbeed,-1.2610143
1903-09-16,Awdal,2.310092
1903-09-16,Bakool,0.56496495
1903-09-16,Bari,0.17491166
1903-09-16,Bay,0.38443404
1903-09-16,Galgaduud,0.49430263
1903-09-16,Gedo,0.19985473
1903-09-16,Hiraan,0.56759155
1903-09-16,Lower Juba,-0.07216522
1903-09-16,Lower Shabelle,0.20019265
1903-09-16,Middle Juba,0.066113874
1903-09-16,Middle Shabelle,0.40476808
1903-09-16,Mudug,0.4761278
1903-09-16,Nugaal,0.3313268
1903-09-16,Sanaag,0.6034076
1903-09-16,Sool,0.68896055
1903-09-16,Togdheer,1.459915
1903-09-16,Woqooyi Galbeed,2.2581704
1903-10-16,Awdal,1.3161116
1903-10-16,Bakool,0.3151667
1903-10-16,Bari,0.23152064
1903-10-16,Bay,-0.1625786
1903-10-16,Galgaduud,0.30170923
1903-10-16,Gedo,-0.030058954
1903-10-16,Hiraan,0.3979813
1903-10-16,Lower Juba,-1.1527537
1903-10-16,Lower Shabelle,-0.2293543
1903-10-16,Middle Juba,-1.3988066
1903-10-16,Middle Shabelle,0.45909834
1903-10-16,Mudug,0.12562676
1903-10-16,Nugaal,0.17171486
1903-10-16,Sanaag,0.18754368
1903-10-16,Sool,0.26952407
1903-10-16,Togdheer,0.6404629
1903-10-16,Woqooyi Galbeed,1.1736269
1903-11-16,Awdal,0.12994942
1903-11-16,Bakool,0.5920687
1903-11-16,Bari,0.39812127
1903-11-16,Bay,0.028308783
1903-11-16,Galgaduud,0.55619764
1903-11-16,Gedo,0.1507257
1903-11-16,Hiraan,0.5928362
1903-11-16,Lower Juba,-1.7653427
1903-11-16,Lower Shabelle,-0.17637666
1903-11-16,Middle Juba,-1.3835356
1903-11-16,Middle Shabelle,0.53981173
1903-11-16,Mudug,0.43787727
1903-11-16,Nugaal,0.34073007
1903-11-16,Sanaag,0.91679984
1903-11-16,Sool,0.7892189
1903-11-16,Togdheer,0.6314487
1903-11-16,Woqooyi Galbeed,0.47548026
1903-12-16,Awdal,0.3417798
1903-12-16,Bakool,0.38332164
1903-12-16,Bari,0.20611423
1903-12-16,Bay,-0.1175056
1903-12-16,Galgaduud,0.51451826
1903-12-16,Gedo,-0.03258609
1903-12-16,Hiraan,0.46900585
1903-12-16,Lower Juba,-1.1683729
1903-12-16,Lower Shabelle,-0.19491991
1903-12-16,Middle Juba,-1.0859427
1903-12-16,Middle Shabelle,0.4025661
1903-12-16,Mudug,0.45363373
1903-12-16,Nugaal,0.31412652
1903-12-16,Sanaag,0.27866045
1903-12-16,Sool,0.42700848
1903-12-16,Togdheer,0.46375996
1903-12-16,Woqooyi Galbeed,0.38503426
1904-01-16,Awdal,0.3209954
1904-01-16,Bakool,1.1947899
1904-01-16,Bari,0.12261379
1904-01-16,Bay,0.90094435
1904-01-16,Galgaduud,1.0873
1904-01-16,Gedo,0.7388056
1904-01-16,Hiraan,1.1217875
1904-01-16,Lower Juba,0.834184
1904-01-16,Lower Shabelle,0.8182958
1904-01-16,Middle Juba,1.0783564
1904-01-16,Middle Shabelle,0.76448476
1904-01-16,Mudug,0.61098826
1904-01-16,Nugaal,0.24133702
1904-01-16,Sanaag,0.55404866
1904-01-16,Sool,0.60800034
1904-01-16,Togdheer,0.94481057
1904-01-16,Woqooyi Galbeed,0.7121428
1904-02-15,Awdal,-0.6348451
1904-02-15,Bakool,0.64092803
1904-02-15,Bari,0.15815936
1904-02-15,Bay,0.51724786
1904-02-15,Galgaduud,0.2596433
1904-02-15,Gedo,0.61574334
1904-02-15,Hiraan,0.33686087
1904-02-15,Lower Juba,0.75179374
1904-02-15,Lower Shabelle,0.6785926
1904-02-15,Middle Juba,0.76832813
1904-02-15,Middle Shabelle,0.4969565
1904-02-15,Mudug,0.23069873
1904-02-15,Nugaal,0.39510423
1904-02-15,Sanaag,0.08255724
1904-02-15,Sool,0.26642856
1904-02-15,Togdheer,0.2068603
1904-02-15,Woqooyi Galbeed,-0.2503338
1904-03-16,Awdal,1.2564154
1904-03-16,Bakool,0.4223763
1904-03-16,Bari,0.14733875
1904-03-16,Bay,0.2904953
1904-03-16,Galgaduud,0.3846651
1904-03-16,Gedo,0.46348014
1904-03-16,Hiraan,0.43092564
1904-03-16,Lower Juba,-0.14383917
1904-03-16,Lower Shabelle,0.27668196
1904-03-16,Middle Juba,-0.07422275
1904-03-16,Middle Shabelle,0.44388437
1904-03-16,Mudug,0.41878396
1904-03-16,Nugaal,0.4151433
1904-03-16,Sanaag,0.3353612
1904-03-16,Sool,0.2878597
1904-03-16,Togdheer,0.5054835
1904-03-16,Woqooyi Galbeed,0.91467655
1904-04-16,Awdal,-1.3207269
1904-04-16,Bakool,0.32940924
1904-04-16,Bari,0.27030858
1904-04-16,Bay,-0.29641274
