time,admin1,conflicts,TA,PA,DL
1999-01-16,Sanaag,0.0,-0.7133141094456433,-0.8024810485329387,0
1999-02-15,Sanaag,0.0,-0.0291559998238813,-0.0550704837641367,0
1999-03-16,Sanaag,0.0,0.5234445947009619,0.5707170616367078,1
1999-04-16,Sanaag,0.0,0.9818850056164048,1.1324408228204994,2
1999-05-16,Sanaag,0.0,0.902797259208872,0.9843255704900592,3
1999-06-16,Sanaag,0.0,0.6996958222065177,0.2347593499163121,4
1999-07-16,Sanaag,0.0,0.0113547614086002,-0.3566320234782894,5
1999-08-16,Sanaag,0.0,-0.6183195227463384,-0.294927761176221,0
1999-09-16,Sanaag,0.0,-0.2726712351221448,0.4551849328250303,0
1999-10-16,Sanaag,0.0,-0.3086516822443704,0.9828400265341216,0
1999-11-16,Sanaag,0.0,-0.2697045445519795,0.3142851363678289,0
1999-12-16,Sanaag,0.0,-0.968585365758671,-0.3117743647943986,0
2000-01-16,Sanaag,0.0,-0.7740213046496152,-0.8107860667835047,0
2000-02-15,Sanaag,0.0,-0.0906532065529128,-0.055775627323647,0
2000-03-16,Sanaag,0.0,0.5426076837206962,0.5692602900561964,1
2000-04-16,Sanaag,0.0,1.0519869394456738,1.132273690339769,2
2000-05-16,Sanaag,0.0,0.9353146637793596,1.0113523300805096,3
2000-06-16,Sanaag,0.0,0.9619619456419786,0.2703283715874582,4
2000-07-16,Sanaag,0.0,0.459842073037397,-0.3200098816343203,5
2000-08-16,Sanaag,0.0,-0.1082683032279186,-0.2797898267822007,0
2000-09-16,Sanaag,0.0,-0.1092478406145123,0.4471994807508444,0
2000-10-16,Sanaag,0.0,-0.3396910424578106,0.9947403018173926,0
2000-11-16,Sanaag,0.0,-0.3487055391328139,0.3235820701665131,0
2000-12-16,Sanaag,0.0,-1.028982437152834,-0.2905062486895584,0
2001-01-16,Sanaag,0.0,-0.8150470189082847,-0.8120355735124359,0
2001-02-15,Sanaag,0.0,-0.1249087733783753,-0.0599498208535545,0
2001-03-16,Sanaag,0.0,0.5742031139567461,0.567952881761055,1
2001-04-16,Sanaag,0.0,1.078411193262484,1.1324512491893837,2
2001-05-16,Sanaag,0.0,0.9560112839115376,0.9835492827524162,3
2001-06-16,Sanaag,0.0,0.8628274536623546,0.234635714301409,4
2001-07-16,Sanaag,0.0,0.8522217555248038,-0.3589320515552504,5
