time,region,PRECTOTCORR,T2M_MAX
199901.0,Woqooyi Galbeed,0.045999996,31.373999
199902.0,Awdal,0.35500002,32.085
199902.0,Bakool,0.0325,37.89125
199902.0,Bari,0.09166667,31.87
199902.0,Bay,0.028571429,40.03714
199902.0,Galgaduud,0.04294118,36.324707
199902.0,Gedo,0.06642857,40.577145
199902.0,Hiraan,0.018181818,38.444546
199902.0,Lower Juba,0.15352942,38.98118
199902.0,Lower Shabelle,0.016999999,38.110004
199902.0,Middle Juba,0.092,40.062
199902.0,Middle Shabelle,0.0,35.385998
199902.0,Mudug,0.02588235,34.632946
199902.0,Nugaal,0.051999997,33.670002
199902.0,Sanaag,0.04388889,32.550003
199902.0,Sool,0.03333333,34.270832
199902.0,Togdheer,0.07700001,33.914
199902.0,Woqooyi Galbeed,0.197,33.094
199903.0,Awdal,3.8375,33.45
199903.0,Bakool,2.1,38.43
199903.0,Bari,0.5479167,33.779587
199903.0,Bay,2.6542857,39.903572
199903.0,Galgaduud,1.3817647,37.264706
199903.0,Gedo,2.6307144,40.269283
199903.0,Hiraan,1.7918181,39.21909
199903.0,Lower Juba,0.79294115,38.80647
199903.0,Lower Shabelle,2.3200002,38.337
199903.0,Middle Juba,1.8299999,39.562
199903.0,Middle Shabelle,2.98,35.722004
199903.0,Mudug,1.1611763,35.651764
199903.0,Nugaal,1.0120001,34.672
199903.0,Sanaag,1.0155555,33.25
199903.0,Sool,1.0891666,34.900833
199903.0,Togdheer,1.5379999,34.475
199903.0,Woqooyi Galbeed,2.807,33.952003
199904.0,Awdal,0.6575,36.085
199904.0,Bakool,3.47375,38.25875
199904.0,Bari,0.56583333,35.781666
199904.0,Bay,3.9435713,38.815002
199904.0,Galgaduud,1.6794118,37.732353
199904.0,Gedo,2.6,38.84571
199904.0,Hiraan,1.9545455,39.095455
199904.0,Lower Juba,2.355294,37.85059
199904.0,Lower Shabelle,3.117,37.581
199904.0,Middle Juba,2.576,38.828003
199904.0,Middle Shabelle,2.504,35.522
199904.0,Mudug,1.4829413,37.041763
199904.0,Nugaal,1.367,36.109
199904.0,Sanaag,1.0522221,34.97111
199904.0,Sool,1.3125,36.065
199904.0,Togdheer,1.456,35.553997
199904.0,Woqooyi Galbeed,0.901,35.546
199905.0,Awdal,0.3225,40.920002
199905.0,Bakool,1.7774999,34.74125
199905.0,Bari,1.0904166,38.202084
199905.0,Bay,2.5314286,34.687855
199905.0,Galgaduud,2.03,36.777645
199905.0,Gedo,1.4085715,35.605
199905.0,Hiraan,3.14,36.964542
199905.0,Lower Juba,1.8376471,34.562943
199905.0,Lower Shabelle,2.6279998,34.122
199905.0,Middle Juba,2.032,35.211998
199905.0,Middle Shabelle,2.658,34.362
199905.0,Mudug,2.0194116,36.74
199905.0,Nugaal,1.4219999,36.506
199905.0,Sanaag,1.2850001,36.205
199905.0,Sool,1.3341666,36.530003
199905.0,Togdheer,1.0370001,35.76
199905.0,Woqooyi Galbeed,0.385,38.388
199906.0,Awdal,0.22749999,40.885002
199906.0,Bakool,0.16874999,33.63625
199906.0,Bari,0.16375001,36.877502
199906.0,Bay,0.41499996,33.565716
199906.0,Galgaduud,0.065882355,34.14
199906.0,Gedo,0.4557143,34.669285
199906.0,Hiraan,0.04,34.15636
199906.0,Lower Juba,0.9952941,33.84059
199906.0,Lower Shabelle,0.21,32.558002
199906.0,Middle Juba,0.638,34.168
199906.0,Middle Shabelle,0.0039999997,31.781998
199906.0,Mudug,0.06411764,34.631176
199906.0,Nugaal,0.19000001,34.404
199906.0,Sanaag,0.415,35.52111
199906.0,Sool,0.25166667,35.33
199906.0,Togdheer,0.299,35.219
199906.0,Woqooyi Galbeed,0.31300002,38.07
