index,time,admin1,conflicts,TA,PA,DL
23,1998-12-16,Hiraan,0.0,-0.06780266515741329,-1.3844254746798923,0
24,1999-01-16,Hiraan,0.0,-0.34387955445555907,-1.115622516017597,0
25,1999-02-15,Hiraan,0.0,-0.08001983909252683,-1.5747414496812802,0
26,1999-03-16,Hiraan,4.0,-0.09026814751783785,-0.29604650575457886,0
27,1999-04-16,Hiraan,0.0,-0.20411452757674234,-0.36811459587946493,0
28,1999-05-16,Hiraan,0.0,-0.2808149882954569,-0.016705971552284666,0
29,1999-06-16,Hiraan,0.0,-0.36402546486672155,-1.6732604569506504,0
30,1999-07-16,Hiraan,4.0,-0.746672866146127,-1.4448475241065983,0
31,1999-08-16,Hiraan,0.0,-1.2808934314298293,-1.2098603174164904,0
32,1999-09-16,Hiraan,0.0,-1.2279607578237652,-1.2331153005095379,0
33,1999-10-16,Hiraan,0.0,-1.2959293838732402,-0.8430199262857428,0
34,1999-11-16,Hiraan,0.0,-1.1561934747369351,-1.218424635512613,0
35,1999-12-16,Hiraan,2.0,-1.4112041095076382,-0.8173101109479012,0
36,2000-01-16,Hiraan,8.0,-1.696307774587152,-0.5019075254273285,0
37,2000-02-15,Hiraan,2.0,-1.45327923833508,0.08214893774212643,0
38,2000-03-16,Hiraan,0.0,-1.1742684805786097,0.21150199650076962,0
39,2000-04-16,Hiraan,0.0,-0.32780889601186297,0.19954641895795436,0
40,2000-05-16,Hiraan,0.0,-0.5238989089479286,0.018215359218753977,0
41,2000-06-16,Hiraan,0.0,-0.48647979708347583,0.2772964019090585,0
42,2000-07-16,Hiraan,2.0,-0.23193398894351244,0.38851857080910995,0
43,2000-08-16,Hiraan,0.0,-0.05243576184548948,0.3611978766057255,0
44,2000-09-16,Hiraan,0.0,-0.25489877022398777,0.3901293417602538,0
45,2000-10-16,Hiraan,0.0,-0.8460974146298158,0.27842873783345395,0
46,2000-11-16,Hiraan,0.0,0.04046223977389,0.24737736536010477,1
47,2000-12-16,Hiraan,0.0,0.2741901676675231,-0.034050726202248256,2
48,2001-01-16,Hiraan,0.0,0.44089037729744135,-0.021616713632684654,3
49,2001-02-15,Hiraan,0.0,-0.27990011909541823,0.2180864127832494,0
50,2001-03-16,Hiraan,0.0,-0.3297400546336018,0.21150199650076962,0
